"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21302","Verify all dialog tabs, search field, and close button; then close dialog","chromium","2026-04-09","passed","2026-04-09","MSN – Personalize Dialog Has Correct Structure","msn/9904_msn_personalize_dialog_structure.spec.ts","",""
"","11609","Verify settings panel opens and closes via Open/Close settings buttons","chromium","2026-04-09","passed","2026-04-09","MSN – Settings Panel Opens and Closes Correctly","msn/9903_msn_settings_panel.spec.ts","",""
"","9393","Verify MSN page title and header elements are visible","firefox","2026-04-09","passed","2026-04-09","MSN Home Page Header Verification","msn/007_msn_header_verify.spec.ts","",""
"","29976","Verify weather widget, navigate to forecast, return and check stability","chromium","2026-04-09","passed","2026-04-09","MSN – Weather Widget: Display, Navigation, and Stability","msn/9909_msn_weather_widget.spec.ts","",""
"","21520","Verify weather widget, navigate to forecast, return and check stability","firefox","2026-04-09","passed","2026-04-09","MSN – Weather Widget: Display, Navigation, and Stability","msn/9909_msn_weather_widget.spec.ts","",""
"","483","homepage test","chromium","2026-04-09","passed","2026-04-09","","example.spec.ts","",""
"","1942","homepage test","firefox","2026-04-09","passed","2026-04-09","","example.spec.ts","",""
"","15694","Verify settings panel opens and closes via Open/Close settings buttons","firefox","2026-04-09","passed","2026-04-09","MSN – Settings Panel Opens and Closes Correctly","msn/9903_msn_settings_panel.spec.ts","",""
"","10787","Verify all dialog tabs, search field, and close button; then close dialog","firefox","2026-04-09","passed","2026-04-09","MSN – Personalize Dialog Has Correct Structure","msn/9904_msn_personalize_dialog_structure.spec.ts","",""
"","33590","Follow ""The Times Of India"" and ""India Today"" via Discover search","chromium","2026-04-09","passed","2026-04-09","MSN – Personalize: Follow TOI and India Today","msn/10075_msn_personalize_follow_publishers.spec.ts","",""
"","17099","Verify MSN page title and header elements are visible","chromium","2026-04-09","passed","2026-04-09","MSN Home Page Header Verification","msn/007_msn_header_verify.spec.ts","",""
"","38466","Follow ""The Times Of India"" and ""India Today"" via Discover search","firefox","2026-04-09","passed","2026-04-09","MSN – Personalize: Follow TOI and India Today","msn/10075_msn_personalize_follow_publishers.spec.ts","",""
